HHID	CHOSEN	INCOME	HHSIZE	NUMVEH	WOMEN	MEN	NWORK	NCHILD	NYCHILD	ETHN	DIST	NBIKES	PTRANSP	SOLARPAN	WALKBIKE	TELECO	PSENIORS	GRAD	POPDENSE	NEIGHB	SMARTPH	SPOOL	CABLE	COST
1	1	1	2	1	1	1	2	0	0	4	2.226189188	0	0	0	1	0	0	0	1181.496012	0	1	0	0	0.855287149
2	2	2	2	2	1	1	1	1	0	4	1.738006937	0	0	0	0	0	0	0	125.4445735	1	0	1	0	0.878066368
3	2	3	1	3	0	1	1	0	0	3	2.293002746	0	1	0	0	0	0	0	904.303281	1	0	0	1	0.743314123
4	1	1	3	2	3	0	3	0	0	4	6.564603902	1	0	0	0	0	0	0	930.5607461	0	1	0	0	0.695417895
5	2	2	1	0	0	1	1	0	0	1	0.823670212	0	0	0	0	1	0	0	11125.06147	1	0	0	1	0.403655585
6	1	2	7	2	4	3	1	4	0	4	2.765044345	5	1	0	1	0	1	0	7737.622319	1	4	0	1	1.23473927
7	2	1	2	0	0	2	2	0	0	4	6.779316525	0	0	0	0	0	0	0	13012.70232	0	1	0	0	0.586769136
8	2	2	1	0	0	1	1	0	0	1	2.904766352	0	0	0	1	1	0	0	993.1887055	0	0	1	1	0.717079347
9	2	1	1	1	1	0	1	0	0	4	2.554374971	0	0	0	0	0	0	0	7985.100441	0	0	0	0	0.510317549
10	2	1	2	0	1	1	2	0	0	1	2.281280601	0	1	0	1	0	0	0	34037.30238	1	0	0	1	0.872167773
11	2	3	1	1	1	0	1	0	0	1	2.721732527	0	0	1	0	1	0	0	914.6783405	1	0	0	1	0.872155489
12	1	2	3	1	1	2	3	0	0	1	2.683992932	0	0	0	0	0	0	0	735.4672354	0	1	0	0	0.841219015
13	2	2	2	2	0	2	2	0	0	1	1.876365169	0	0	0	0	1	0	0	763.7841127	0	0	1	0	1.113954787
14	1	2	1	1	1	0	1	0	0	4	6.96979303	0	0	0	0	0	0	0	727.2290047	0	0	1	1	0.567486822
15	2	1	2	1	0	2	1	0	0	4	2.305820804	0	0	0	0	1	1	1	1106.132923	1	0	0	0	1.288206217
16	2	1	4	2	1	3	1	1	0	1	1.690497671	0	1	0	0	1	1	2	707.3673516	1	0	0	0	1.228030336
17	1	2	3	1	2	1	3	0	0	4	2.652294281	0	0	0	0	0	0	0	636.1045387	0	2	0	0	0.401555956
18	2	2	3	0	0	3	1	2	0	4	1.86999223	1	0	0	0	0	0	0	14666.59109	0	0	1	0	1.179475365
19	2	2	3	1	2	1	3	0	0	4	2.366845194	0	0	0	0	0	0	2	80.91212894	0	0	1	0	0.901044407
20	2	2	1	0	0	1	1	0	0	4	2.592830468	0	0	0	0	0	0	0	698.2856014	0	0	0	0	0.595271941
21	1	1	3	1	2	1	1	2	1	4	2.183502162	0	0	0	0	0	0	0	815.2131518	0	0	0	0	0.653585423
22	2	1	1	1	0	1	1	0	0	1	3.097659887	0	1	1	0	0	0	0	1278.641954	0	0	0	1	0.464405795
23	2	1	3	2	2	1	2	0	0	1	1.717134079	1	1	0	0	0	0	0	288.6488146	0	0	0	0	0.423993617
24	1	3	2	2	2	0	2	0	0	1	1.187019987	0	1	0	0	0	0	0	1053.469485	0	0	0	1	1.243665036
25	2	2	3	2	1	2	1	2	1	4	4.699410083	0	0	0	1	0	0	0	487.0776578	0	0	0	0	0.526479525
26	1	2	2	1	1	1	1	0	0	1	5.859815963	0	1	0	0	0	0	1	255.7975468	1	0	0	0	0.747788964
27	1	1	1	0	1	0	1	0	0	3	1.104691182	0	0	0	1	0	0	0	1042.71654	1	0	0	0	1.136990719
28	2	3	1	2	1	0	1	0	0	1	3.014038315	0	1	1	0	0	0	0	23875.05021	0	0	1	1	1.083517358
